model_code,model,registry_id,implementation_parameter,manuscript_symbol,description,estimate,status,lower_bound,upper_bound
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,source_learning_rate,\omega,Source learning relative to temporal learning,1.3851264715194702,free,2.220446049250313e-16,10.0
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.0,fixed,,
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.0,fixed,,
C,No emotion-based learning boost + LPP-based learning boost for negative items only,CategoryOnly_eCMR_LPP_EmotionalOnly,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.18409980833530426,free,0.0,0.21454430108484696
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.8324310183525085,free,2.220446049250313e-16,0.9999999999999998
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.04012242332100868,free,2.220446049250313e-16,0.9999999999999998
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9999933242797852,free,2.220446049250313e-16,0.9999999999999998
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.18357907235622406,free,2.220446049250313e-16,0.9999999999999998
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,shared_support,\alpha,Shared pre-experimental context-to-item support,3.8183481693267822,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,item_support,\delta,Item-specific pre-experimental context-to-item support,18.54110336303711,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,learning_rate,\gamma,Feature-to-context learning rate,0.2592247724533081,free,2.220446049250313e-16,0.9999999999999998
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,primacy_scale,\phi_s,Primacy scale,0.02896454744040966,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,primacy_decay,\phi_d,Primacy decay,1.406624436378479,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,choice_sensitivity,\tau_c,Recall-choice sensitivity,3.3223679065704346,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,source_learning_rate,\omega,Source learning relative to temporal learning,1.4516189098358154,free,2.220446049250313e-16,10.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.504406213760376,free,2.220446049250313e-16,10.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.0,fixed,,
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.0,fixed,,
