model_code,model,registry_id,implementation_parameter,manuscript_symbol,description,estimate,status,lower_bound,upper_bound
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.9999980926513672,free,2.220446049250313e-16,0.9999999999999998
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,recall_drift_rate,\beta_{\mathrm{rec}}^{T},Temporal-context reinstatement after recall,0.09609394520521164,free,2.220446049250313e-16,0.9999999999999998
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,source_recall_drift_rate,\beta_{\mathrm{rec}}^{S},Source-context reinstatement after recall,1.0,fixed,,
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,shared_support,\alpha,Shared pre-experimental context-to-item support,10.589858055114746,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,item_support,\delta,Item-specific pre-experimental context-to-item support,64.68472290039062,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,learning_rate,\gamma,Feature-to-context learning rate,0.32279452681541443,free,2.220446049250313e-16,0.9999999999999998
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,primacy_scale,\phi_s,Primacy scale,0.3183635175228119,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,primacy_decay,\phi_d,Primacy decay,44.051170349121094,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,choice_sensitivity,\tau_c,Recall-choice sensitivity,2.513441324234009,free,2.220446049250313e-16,100.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,source_learning_rate,\omega,Source learning relative to temporal learning,2.4607512950897217,free,2.220446049250313e-16,10.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,emotion_scale,\phi_{\mathrm{emot}},Categorical multiplier for negative items,1.6302412748336792,free,2.220446049250313e-16,10.0
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,lpp_main_scale,\kappa,General Early-LPP slope on log learning strength,0.0,fixed,,
D,Emotion-based learning boost + no LPP-based learning boost,EEM_eCMR,lpp_inter_scale,\kappa_{\mathrm{emot}},Emotion-dependent Early-LPP slope increment,0.0,fixed,,
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,encoding_drift_rate,\beta_{\mathrm{enc}}^{T},Temporal-context drift at study,0.004926071502268314,free,2.220446049250313e-16,0.9999999999999998
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,source_encoding_drift_rate,\beta_{\mathrm{enc}}^{S},Source-context drift at study,0.1908598095178604,free,2.220446049250313e-16,0.9999999999999998
E,Emotion-based learning boost + LPP-based learning boost for all items,EEM_eCMR_LPP_General,start_drift_rate,\beta_{\mathrm{start}},Pre-recall drift toward start-of-list context,0.030801603570580482,free,2.220446049250313e-16,0.9999999999999998
